Funciones,Personas a cargo,Incentivos,UbicaciÃ³n,details,Idiomas,Info Otros Países,technologies,link,Experiencia,textos_limpios,company_name,FormaciÃ³n MÃ­nima,Nivel Profesional,+ Países,additional_info,date,job_name,Tipo contrato,Imprescindible Residir,CVs inscritos en el proceso,Ubicación,Número de puestos,Jornada,Formación Mínima,Salario,offer_id,Otras Provincias,tecnologias,textos_limpios,tecnologias
Programador,,,,,,,"['NET', 'Java']",https://www.tecnoempleo.com/desarrollador-software-embebido-net-madrid/net-java/rf-3c421e6a6275a3c22441,1 año,Programador,GMV,,Empleado,,,09/08/2024,Desarrollador/a Software embebido .NET,Indefinido,,37,Madrid - España,,Jornada completa,,,3c421e6a6275a3c22441,,"NET, Java, Programador",Programador,"NET, Java, Programador"
Desarrollador Web,,,,,,,"['PHP', 'Typescript', 'Python']",https://www.tecnoempleo.com/fullstack-developer-php-typescript-barcelona/php-typescript-python/rf-21cc163c821dd3168742,Más de 5 años,Desarrollador WebProgramador,Page Personnel,,Empleado,,,09/08/2024,Fullstack Developer (PHP & Typescript),Indefinido,,55,Barcelona - España,,Jornada completa,,45.000 € - 72.000 € Bruto/año,21cc163c821dd3168742,,"PHP, Typescript, Python, Desarrollador Web, Programador",Desarrollador WebProgramador,"PHP, Typescript, Python, Desarrollador Web, Programador"
Jefe de Proyecto,,,,,,,"['PMI', 'Agile', 'Scrum']",https://www.tecnoempleo.com/project-manager-it-madrid/pmi-agile-scrum/rf-5fb11a8ef2ee53582f43,Más de 5 años,Jefe de Proyecto,"ADD TRADE SHOW SYSTEMS, S.L.",,Empleado,,,09/08/2024,Project Manager IT,Indefinido,,43,Madrid - España,,Jornada completa,,,5fb11a8ef2ee53582f43,,"PMI, Agile, Scrum, Jefe de Proyecto",Jefe de Proyecto,"PMI, Agile, Scrum, Jefe de Proyecto"
Diseño gráfico,,,,,,,"['Figma', 'UI', 'UX']",https://www.tecnoempleo.com/product-designer-local-unit-remoto/figma-ui-ux/rf-4769144e622473d07d4a,3 años,Diseño gráfico,Semrush,,Empleado,,,09/08/2024,Product Designer (Local Unit),Indefinido,,53,100% En remoto,,Jornada completa,,,4769144e622473d07d4a,,"Figma, UI, UX, Diseño gráfico",Diseño gráfico,"Figma, UI, UX, Diseño gráfico"
Programador,,,,,,,"['Node', 'Next', 'React']",https://www.tecnoempleo.com/fullstack-engineer-madrid/node-next-react-aws/rf-759f140f928b739bce47,2 años,Programador,TUBUNTU TECHNOLOGIES,,Empleado,,,09/08/2024,Fullstack Engineer,Indefinido,,26,Madrid - España,,Jornada completa,,,759f140f928b739bce47,,"Node, Next, React, AWS, Programador",Programador,"Node, Next, React, AWS, Programador"
Desarrollador Móvil,,,,,,,"['Ionic', 'Cordova', 'HTML5']",https://www.tecnoempleo.com/programador-ionic-espana/ionic-cordova-html5-css3-javascript/rf-13d911dd42b7b3cb2040,3 años,Desarrollador MóvilProgramador,Page Personnel,,Empleado,,,09/08/2024,Programador Ionic,Indefinido,,22,España,,Jornada completa,,30.000 € - 39.000 € Bruto/año,13d911dd42b7b3cb2040,,"Ionic, Cordova, HTML5, CSS3, JavaScript, Desarrollador Móvil, Programador",Desarrollador MóvilProgramador,"Ionic, Cordova, HTML5, CSS3, JavaScript, Desarrollador Móvil, Programador"
Consultor,,,,,,,"['SQL', 'Power BI']",https://www.tecnoempleo.com/implantador-software-hibrido/sql-power-bi/rf-d6c9116d02c4b3caa646,2 años,Consultor,INACATALOG,,Empleado,,,09/08/2024,Implantador de Software,Indefinido,,20,Valencia (Híbrido),,Jornada completa,,,d6c9116d02c4b3caa646,,"SQL, Power BI, Consultor",Consultor,"SQL, Power BI, Consultor"
Ingenieros/Industria,,,,,,,['Diseño mecanico'],https://www.tecnoempleo.com/ingeniero-diseno-mecanico-valencia/diseno-mecanico/rf-4217163fc20573e9134e,1 año,Ingenieros/Industria,HAYS,,Empleado,,,09/08/2024,Ingeniero de diseño mecánico,Indefinido,,14,"Valencia, Valencia - Valencia España",,Jornada completa,,,4217163fc20573e9134e,,"Diseno mecanico, Ingenieros/Industria",Ingenieros/Industria,"Diseno mecanico, Ingenieros/Industria"
Soporte Técnico,,,,,,,"['soporte', 'microinformática']",https://www.tecnoempleo.com/tecnico-informatico-valencia/soporte-microinformatica/rf-824a19758215a35d144b,2 años,Soporte Técnico,Multicode Mobile,,Empleado,,,09/08/2024,Técnico informático,Indefinido,,85,Valencia - España,,Jornada completa,,,824a19758215a35d144b,,"soporte, microinformatica, Soporte Técnico",Soporte Técnico,"soporte, microinformatica, Soporte Técnico"
Ingenieros/Industria,,,,,,,['CAD'],https://www.tecnoempleo.com/diseno-en-oficina-tecnica-huesca/cad/rf-977912cc72a9a34e304d,3 años,Ingenieros/Industria,Michael Page,,Empleado,,,09/08/2024,Diseño en oficina técnica,Indefinido,,0,Huesca - España,,Jornada completa,,,977912cc72a9a34e304d,,"CAD, Ingenieros/Industria",Ingenieros/Industria,"CAD, Ingenieros/Industria"
I+D,,,,,,,"['OSA', 'ESA', 'Python']",https://www.tecnoempleo.com/ingeniero-i-d-fibra-ptica-navarra/osa-esa-python-numpy-matplotlib/rf-aea31d23d205c36ddc49,3 años,I+D,KTI Key Talent Indicator,,Empleado,,,09/08/2024,Ingeniero/a de I+D - Fibra Óptica,Indefinido,,1,Navarra - España,,Jornada completa,,30.000 € - 36.000 € Bruto/año,aea31d23d205c36ddc49,,"OSA, ESA, Python, Numpy, Matplotlib, I+D",I+D,"OSA, ESA, Python, Numpy, Matplotlib, I+D"
Ingenieros/Industria,,,,,,,"['Solidworks', 'CAD']",https://www.tecnoempleo.com/ingeniero-a-madrid/solidworks-cad/rf-e51315d442d623843146,3 años,Ingenieros/Industria,HAYS,,Empleado,,,09/08/2024,Ingeniero/a,Indefinido,,5,Madrid - España,,Jornada completa,,,e51315d442d623843146,,"Solidworks, CAD, Ingenieros/Industria",Ingenieros/Industria,"Solidworks, CAD, Ingenieros/Industria"
Programador,,,,,,,"['java', 'SQL']",https://www.tecnoempleo.com/desarrollador-java-hibrido/java-sql/rf-ba21132aa2ea73671949,3 años,Programador,Page Personnel,,Empleado,,,09/08/2024,Desarrollador/a Java,Indefinido,,41,Madrid (Híbrido),,Jornada completa,,39.000 € - 45.000 € Bruto/año,ba21132aa2ea73671949,,"java, SQL, Programador",Programador,"java, SQL, Programador"
Soporte Técnico,,,,,,,"['soporte', 'microinformática', 'Windows']",https://www.tecnoempleo.com/tecnico-soporte-informatico-madrid/soporte-microinformatica-windows/rf-0561187222ac1335974f,1 año,Soporte Técnico,Adalides Visuales SLU,,Empleado,,,09/08/2024,Técnico de Soporte Informático,Indefinido,,207,Madrid - España,,Jornada completa,,18.000 € - 24.000 € Bruto/año,0561187222ac1335974f,,"soporte, microinformatica, Windows, Soporte Técnico",Soporte Técnico,"soporte, microinformatica, Windows, Soporte Técnico"
Jefe de Proyecto,,,,,,,['SAP'],https://www.tecnoempleo.com/it-manager-con-sap-hibrido/sap/rf-02f314fbf2b4d39ede49,Más de 5 años,Jefe de Proyecto,HAYS,,Empleado,,,09/08/2024,IT Manager con SAP,Indefinido,,9,Valencia (Híbrido),,Jornada completa,,,02f314fbf2b4d39ede49,,"SAP, Jefe de Proyecto",Jefe de Proyecto,"SAP, Jefe de Proyecto"
Técnico de Sistemas,,,,,,,"['Microsoft', 'LAN', 'WAN']",https://www.tecnoempleo.com/infrastructure-manager-h-m-hibrido/microsoft-lan-wan-vpn/rf-0b291f64025b23af6c44,Más de 5 años,Técnico de Sistemas,Michael Page,,Empleado,,,09/08/2024,Infrastructure Manager (h/m),Indefinido,,6,Bizkaia (Híbrido),,Jornada completa,,,0b291f64025b23af6c44,,"Microsoft, LAN, WAN, VPN, Técnico de Sistemas",Técnico de Sistemas,"Microsoft, LAN, WAN, VPN, Técnico de Sistemas"
Ingenieros/Industria,,,,,,,['CAD'],https://www.tecnoempleo.com/ingeniero-diseno-cad-zamora/cad/rf-74fd1670924a633cc240,3 años,Ingenieros/Industria,Michael Page,,Empleado,,,09/08/2024,Ingeniero/a de diseño CAD,Indefinido,,9,Zamora - España,,Intensiva Mañana,,30.000 € - 36.000 € Bruto/año,74fd1670924a633cc240,,"CAD, Ingenieros/Industria",Ingenieros/Industria,"CAD, Ingenieros/Industria"
Consultor,,,,,,,"['Lean', '5S', 'Kaizen']",https://www.tecnoempleo.com/consultor-transformacion-lean-madrid/lean-5s-kaizen/rf-ca9f10d6428c43737b40,3 años,ConsultorIngenieros/Industria,brotherHUB,,Empleado,,,09/08/2024,Consultor de Transformación y Lean,Indefinido,,12,Madrid - España,,Jornada completa,,,ca9f10d6428c43737b40,,"Lean, 5S, Kaizen, Consultor, Ingenieros/Industria",ConsultorIngenieros/Industria,"Lean, 5S, Kaizen, Consultor, Ingenieros/Industria"
Ingenieros/Industria,,,,,,,"['Office', 'Autocad', 'Presto']",https://www.tecnoempleo.com/ingeniero-tecnico-telecomunicaciones-valencia/office-autocad-presto/rf-46531eb82256b33c324d,Más de 5 años,Ingenieros/Industria,CONSULTRANS,,Empleado,,,09/08/2024,Ingeniero/a Técnico/a Telecomunicaciones,Indefinido,,10,Valencia - España,,Jornada completa,,,46531eb82256b33c324d,,"Office, Autocad, Presto, Ingenieros/Industria",Ingenieros/Industria,"Office, Autocad, Presto, Ingenieros/Industria"
Analista,,,,,,,"['Python', 'SQL']",https://www.tecnoempleo.com/data-analyst-end-to-end-hibrido/python-sql/rf-0d8f11987228931fa545,3 años,AnalistaBig Data,HAYS,,Empleado,,,09/08/2024,Data Analyst End to End,Indefinido,,8,Barcelona (Híbrido),,Jornada completa,,,0d8f11987228931fa545,,"Python, SQL, Analista, Big Data",AnalistaBig Data,"Python, SQL, Analista, Big Data"
Arquitecto TIC,,,,,Inglés (Alto),,['Kubernetes'],https://www.tecnoempleo.com/arquitecto-devops-remoto/kubernetes/rf-febd1e61e21b23a7cc4d,Más de 5 años,Arquitecto TIC,Krell Consulting & Training,,Especialista,,,09/08/2024,Arquitecto DevOps,Indefinido,,20,100% En remoto,,Jornada completa,Sin estudios,,febd1e61e21b23a7cc4d,,"Kubernetes, Arquitecto TIC",Arquitecto TIC,"Kubernetes, Arquitecto TIC"
Programador,,,,,Español (Excelente),,['SQL SERVER'],https://www.tecnoempleo.com/programador-a-presencial/sql-server/rf-29b6114c5209e31d9543,3-5 años,Programador,Inology,,Empleado,,,08/08/2024,Programador/a,Indefinido,Provincia Puesto,197,Barcelona (Presencial),,Jornada completa,FP2/Grado Superior,,29b6114c5209e31d9543,,"SQL SERVER, Programador",Programador,"SQL SERVER, Programador"
Ingenieros/Industria,,,,,Inglés (Alto),,"['Appian', 'Jira', 'BPMs']",https://www.tecnoempleo.com/ingeniero-procesos-appian-remoto/appian-jira-bpms/rf-704a1712e274c33d6949,2 años,Ingenieros/Industria,Krell Consulting & Training,,Empleado,,,08/08/2024,Ingeniero de procesos APPIAN,Indefinido,,51,100% En remoto,,Jornada completa,Ingeniero Superior,54.000 € - 60.000 € Bruto/año,704a1712e274c33d6949,,"Appian, Jira, BPMs, Ingenieros/Industria",Ingenieros/Industria,"Appian, Jira, BPMs, Ingenieros/Industria"
Consultor,,,,,Inglés (Alto),,"['SQL', 'Unix', 'Java']",https://www.tecnoempleo.com/integrador-remoto/sql-unix-java-control-m/rf-4d9c1de412dca3e2ae4b,3-5 años,Consultor,Krell Consulting & Training,,Empleado,,,08/08/2024,Integrador,Indefinido,,22,100% En remoto,,Jornada completa,Sin estudios,,4d9c1de412dca3e2ae4b,,"SQL, Unix, Java, Control M, Consultor",Consultor,"SQL, Unix, Java, Control M, Consultor"
Helpdesk,,,,,Español (Excelente),,['helpdesk'],https://www.tecnoempleo.com/tecnico-it-helpdesk-presencial/helpdesk/rf-ac2815c7e24b2301f643,3-5 años,Helpdesk,Inology,,Empleado,,,08/08/2024,Técnico/a IT Helpdesk,Indefinido,Provincia Puesto,200,Barcelona (Presencial),2,Jornada completa,FP2/Grado Superior,,ac2815c7e24b2301f643,,"helpdesk, Helpdesk",Helpdesk,"helpdesk, Helpdesk"
Desarrollador Web,,,,,Inglés (Alto),,"['Java', 'Spring', 'Javascript']",https://www.tecnoempleo.com/full-stack-developer-remoto/java-spring-javascript-html-css/rf-719e1514323d33ef6f47,3 años,Desarrollador WebProgramador,Krell Consulting & Training,,Empleado,,,08/08/2024,Full Stack Developer,Indefinido,España,111,100% En remoto,,Jornada completa,Licenciado,36.000 € - 36.000 € Bruto/año,719e1514323d33ef6f47,,"Java, Spring, Javascript, HTML, CSS, Desarrollador Web, Programador",Desarrollador WebProgramador,"Java, Spring, Javascript, HTML, CSS, Desarrollador Web, Programador"
Big Data,,,,,,,"['Scala', 'Powershell', 'SQL']",https://www.tecnoempleo.com/integration-engineer-barcelona/scala-powershell-sql-python/rf-ae44196b92a59362474b,3-5 años,Big Data,Krell Consulting & Training,,Empleado,,,08/08/2024,Integration Engineer,Indefinido,,18,Barcelona - España,,Jornada completa,Grado Medio,,ae44196b92a59362474b,,"Scala, Powershell, SQL, Python, Big Data",Big Data,"Scala, Powershell, SQL, Python, Big Data"
DevOps,,,,,,,"['WEB API', 'SPRINGBOOT', 'KAFKA']",https://www.tecnoempleo.com/business-analytics-devops-teletrabajo-madrid/web-api-springboot-kafka/rf-7390165c42ac9394f141,3 años,DevOps,Second Window,,Empleado,,,08/08/2024,Business Analytics DevOps. TELETRABAJO,Indefinido,,21,Madrid - España,,Jornada completa,FP2/Grado Superior,,7390165c42ac9394f141,,"WEB API, SPRINGBOOT, KAFKA, DevOps",DevOps,"WEB API, SPRINGBOOT, KAFKA, DevOps"
Consultor,,,,,,,['Navision'],https://www.tecnoempleo.com/consultor-navision-empresa-final-h-m-la-rioja/navision/rf-132d143b32b463588343,3 años,Consultor,Michael Page,,Empleado,,,08/08/2024,Consultor Navision empresa final (h/m),Indefinido,,3,La Rioja - España,,Jornada completa,,48.000 € - 54.000 € Bruto/año,132d143b32b463588343,,"Navision, Consultor",Consultor,"Navision, Consultor"
Soporte Técnico,,,,,,,"['soporte', 'packaging']",https://www.tecnoempleo.com/technical-service-specialist-barcelona/soporte-packaging/rf-1ce716a65207f30a6541,3 años,Soporte Técnico,Michael Page,,Empleado,,,08/08/2024,Technical Service Specialist,Indefinido,,13,Barcelona - España,,Jornada completa,,45.000 € - 54.000 € Bruto/año,1ce716a65207f30a6541,,"soporte, packaging, Soporte Técnico",Soporte Técnico,"soporte, packaging, Soporte Técnico"
DevOps,,,,,,,"['AWS', 'Azure', 'Google Cloud Platform']",https://www.tecnoempleo.com/arquitecto-cloud-hibrido/aws-azure-google-cloud-platform/rf-1f9711d0b2e47336f540,3 años,DevOpsTécnico de Sistemas,GMV,,Empleado,,,08/08/2024,Arquitecto/a Cloud,Indefinido,,26,Madrid (Híbrido),,Jornada completa,,,1f9711d0b2e47336f540,"Barcelona, Sevilla, Valencia y Valladolid","AWS, Azure, Google Cloud Platform, DevOps, Técnico de Sistemas",DevOpsTécnico de Sistemas,"AWS, Azure, Google Cloud Platform, DevOps, Técnico de Sistemas"
Arquitecto TIC,,,,,,,"['AWS', 'Cloud']",https://www.tecnoempleo.com/arquitecto-datos-senior-en-aws-remoto/aws-cloud/rf-26aa126bf284c3654945,3-5 años,Arquitecto TIC,Krell Consulting & Training,,Especialista,,,08/08/2024,Arquitecto de Datos Senior en AWS,Indefinido,,13,100% En remoto,,Jornada completa,Sin estudios,,26aa126bf284c3654945,,"AWS, Cloud, Arquitecto TIC",Arquitecto TIC,"AWS, Cloud, Arquitecto TIC"
Jefe de Proyecto,,,,,,,['PMP'],https://www.tecnoempleo.com/project-manager-sector-financiero-remoto/pmp/rf-4d021ada129d53f2b34c,3-5 años,Jefe de Proyecto,Krell Consulting & Training,,Mando Intermedio,,,07/08/2024,Project Manager sector financiero,Temporal,España,124,100% En remoto,,Jornada completa,Diplomado,,4d021ada129d53f2b34c,,"PMP, Jefe de Proyecto",Jefe de Proyecto,"PMP, Jefe de Proyecto"
Base de Datos/DBA,,"seguro salud, retribución flexible,",,,Inglés (Medio),,"['SQL', 'PL/SQL']",https://www.tecnoempleo.com/consultor-sql-i-d-hibrido/sql-pl-sql/rf-7ed11261129e635e994b,3 años,Base de Datos/DBA,Capgemini,,Empleado,,,06/08/2024,Consultor/a SQL (I&D),Indefinido,Provincia Puesto,52,Madrid (Híbrido),,Jornada completa,FP2/Grado Superior,,7ed11261129e635e994b,,"SQL, PL/SQL, Base de Datos/DBA",Base de Datos/DBA,"SQL, PL/SQL, Base de Datos/DBA"
Arquitecto TIC,,,,,,,"['cloud', 'vmware', 'contenedores']",https://www.tecnoempleo.com/arquitecto-cloud-con-vmware-hibrido/cloud-vmware-contenedores-openshift/rf-972e1507f202e3f0fc4b,3-5 años,Arquitecto TICTécnico de Sistemas,Tuyú Technology,,Empleado,,,06/08/2024,Arquitecto/a Cloud con VMware,Indefinido,Provincia Puesto,26,Madrid (Híbrido),,Jornada completa,FP1,30.000 € - 48.000 € Bruto/año,972e1507f202e3f0fc4b,,"cloud, vmware, contenedores, openshift, Arquitecto TIC, Técnico de Sistemas",Arquitecto TICTécnico de Sistemas,"cloud, vmware, contenedores, openshift, Arquitecto TIC, Técnico de Sistemas"
Sistemas de Calidad,,,,,Alemán (Alto)| Inglés (Alto),"Alemania, Austria, España, Portugal","['Jira', 'Kiwi', 'Selenium']",https://www.tecnoempleo.com/qa-software-tester-muy-puntilloso-a-remoto/jira-kiwi-selenium-java-junit-j/rf-0d1c18d2e2cf03fca845,3-5 años,Sistemas de CalidadTester,CIB labs,,Especialista,"Alemania, Austria, España, Portugal",,06/08/2024,QA & Software Tester muy puntilloso/a,Indefinido,,291,100% En remoto,,Jornada completa,Ingeniero Técnico,,0d1c18d2e2cf03fca845,,"Jira, Kiwi, Selenium, Java, JUnit, Jenkin, Selenium, Grid, BrowserStack, Sistemas de Calidad, Tester",Sistemas de CalidadTester,"Jira, Kiwi, Selenium, Java, JUnit, Jenkin, Selenium, Grid, BrowserStack, Sistemas de Calidad, Tester"
Consultor,,,,,,,['SAP SD'],https://www.tecnoempleo.com/it-business-partner-sap-sd-madrid/sap-sd/rf-ff1f1848f21d63eb674f,Más de 5 años,Consultor,Michael Page,,Empleado,,,05/08/2024,IT Business Partner (SAP SD),Indefinido,,9,Madrid - España,,Jornada completa,,48.000 € - 60.000 € Bruto/año,ff1f1848f21d63eb674f,,"SAP SD, Consultor",Consultor,"SAP SD, Consultor"
Técnico de Gestión,,,,,,,"['Amazon Ads', 'Shopify']",https://www.tecnoempleo.com/e-commerce-assistant-barcelona/amazon-ads-shopify/rf-bab51049d2df43284648,3 años,Técnico de Gestión,Michael Page,,Empleado,,,05/08/2024,E-commerce assistant,Indefinido,,16,Barcelona - España,,Jornada completa,,,bab51049d2df43284648,,"Amazon Ads, Shopify, Técnico de Gestión",Técnico de Gestión,"Amazon Ads, Shopify, Técnico de Gestión"
Diseño gráfico,,,,,Alemán (Alto)| Inglés (Alto),"Alemania, Austria, Portugal","['AdobeXD', 'Adobe Ilustrator', 'Figma']",https://www.tecnoempleo.com/experto-ui-ux-con-ojo-creativo-remoto/adobexd-adobe-ilustrator-figma/rf-6d3411dac229134fbe4b,3-5 años,Diseño gráfico,CIB labs,,Especialista,"Alemania, Austria, Portugal",,05/08/2024,Experto/a UI/UX con ojo creativo,Indefinido,,414,100% En remoto,,Jornada completa,Grado EEES (Bolonia),,6d3411dac229134fbe4b,,"AdobeXD, Adobe Ilustrator, Figma, Diseño gráfico",Diseño gráfico,"AdobeXD, Adobe Ilustrator, Figma, Diseño gráfico"
Analista Programador,,,,,,,['c++'],https://www.tecnoempleo.com/programador-c-malaga/c/rf-c72212519261e3ca6b47,3-5 años,Analista ProgramadorProgramador,Alcorce Telecomunicaciones,,Empleado,,,05/08/2024,Programador/a C++,Indefinido,,101,Málaga - España,,Jornada completa,E.S.O. (Educación Secundaria Obligatoria),,c72212519261e3ca6b47,,"c++, Analista Programador, Programador",Analista ProgramadorProgramador,"c++, Analista Programador, Programador"
Redes,,,,,Inglés (Alto),,"['redes', 'switchs', 'routers']",https://www.tecnoempleo.com/tecnico-en-redes-hibrido/redes-switchs-routers-firewalls-vpn/rf-8aa61f4da22703f8a54d,Más de 5 años,Redes,Krell Consulting & Training,,Empleado,,,05/08/2024,Técnico en Redes,Indefinido,España,47,Madrid (Híbrido),,Jornada completa,Sin estudios,33.000 € - 33.000 € Bruto/año,8aa61f4da22703f8a54d,,"redes, switchs, routers, firewalls, VPN, Redes",Redes,"redes, switchs, routers, firewalls, VPN, Redes"
Técnico de Sistemas,,,,,,,"['Active directory', 'vmware', 'Azure']",https://www.tecnoempleo.com/admistrador-sistemas-hibrido/active-directory-vmware-azure/rf-4a4b115502ee33a2824f,Más de 10 años,Técnico de Sistemas,Krell Consulting & Training,,Empleado,,,02/08/2024,Admistrador de sistemas,Indefinido,,56,Valencia (Híbrido),,Jornada completa,FP2/Grado Superior,,4a4b115502ee33a2824f,,"Active directory, vmware, Azure, Técnico de Sistemas",Técnico de Sistemas,"Active directory, vmware, Azure, Técnico de Sistemas"
DevOps,,,,,InglÃ©s (Alto),,"['devops', 'CI/CD', 'Kubernetes']",https://www.tecnoempleo.com/devops-engineer-remoto/devops-ci-cd-kubernetes/rf-4d3f1342f27a13ef8945,2 años,DevOps,Krell Consulting & Training,Licenciado,Empleado,,,02/08/2024,Devops Engineer,Freelance/Autónomo,EspaÃ±a,22,100% En remoto,,Jornada completa,,,4d3f1342f27a13ef8945,,"devops, CI/CD, Kubernetes, DevOps",DevOps,"devops, CI/CD, Kubernetes, DevOps"
Analista,,,,,,,"['natural', 'adabas']",https://www.tecnoempleo.com/analista-programador-natural-adabas-remoto/natural-adabas/rf-4a081797726f03cd6441,3 años,AnalistaAnalista ProgramadorProgramador,Tuyú Technology,,Empleado,,,02/08/2024,Analista programador/a Natural Adabas,Indefinido,,19,100% En remoto,,Jornada completa,E.S.O. (Educación Secundaria Obligatoria),21.000 € - 24.000 € Bruto/año,4a081797726f03cd6441,,"natural, adabas, Analista, Analista Programador, Programador",AnalistaAnalista ProgramadorProgramador,"natural, adabas, Analista, Analista Programador, Programador"
Programador,,,,,Inglés,,"['Openshift', 'API Rest', 'GitHub']",https://www.tecnoempleo.com/experto-en-ibm-madrid/openshift-api-rest-github-kubernetes/rf-00221786c283c3daf64e,3-5 años,Programador,Krell Consulting & Training,,Empleado,,,02/08/2024,Experto en IBM,Indefinido,,6,España - Madrid - España,,Jornada completa,Grado Medio,,00221786c283c3daf64e,,"Openshift, API Rest, GitHub, kubernetes, Programador",Programador,"Openshift, API Rest, GitHub, kubernetes, Programador"
Big Data,,,,,Inglés (Alto),,"['AWS', 'Cloud', 'SQL']",https://www.tecnoempleo.com/ingeniero-datos-aws-hibrido/aws-cloud-sql-nosql-ci-dc-python/rf-b44d1d98c2e623887d45,1 año,Big DataDesarrollador WebProgramador,Tuyú Technology,,Empleado,,,02/08/2024,Ingeniero/a de datos AWS,Indefinido,Provincia Puesto,8,Barcelona (Híbrido),,Jornada completa,FP2/Grado Superior,27.000 € - 30.000 € Bruto/año,b44d1d98c2e623887d45,,"AWS, Cloud, SQL, NoSQL, CI/DC, Python, Big Data, Desarrollador Web, Programador",Big DataDesarrollador WebProgramador,"AWS, Cloud, SQL, NoSQL, CI/DC, Python, Big Data, Desarrollador Web, Programador"
Analista Programador,,,,,Español,,"['Ruby', 'Redmine']",https://www.tecnoempleo.com/analista-programador-ruby-remoto/ruby-redmine/rf-03af1809e2e86358b744,2 años,Analista ProgramadorProgramador,Tuyú Technology,,Empleado,,,02/08/2024,Analista Programador/a Ruby,Indefinido,España,24,100% En remoto,,Jornada completa,FP2/Grado Superior,18.000 € - 24.000 € Bruto/año,03af1809e2e86358b744,,"Ruby, Redmine, Analista Programador, Programador",Analista ProgramadorProgramador,"Ruby, Redmine, Analista Programador, Programador"
Consultor,,,,,Español (Excelente)| Inglés (Alto),,"['sap', 'sap mm', 's4hana']",https://www.tecnoempleo.com/consultor-sap-mm-hibrido/sap-sap-mm-s4hana/rf-0f641801a29c93a8d24b,2 años,Consultor,Capgemini,,Empleado,,,02/08/2024,Consultor SAP MM,Indefinido,España,46,Madrid (Híbrido),,Jornada completa,Certificado de Profesionalidad,,0f641801a29c93a8d24b,"Asturias, Barcelona, Bizkaia, Sevilla y Valencia","sap, sap mm, s4hana, Consultor",Consultor,"sap, sap mm, s4hana, Consultor"
Soporte Técnico,,,,,Euskera (Alto),,"['DIRECTORIO ACTIVO', 'TICKETING', 'WINDOWS']",https://www.tecnoempleo.com/tecnico-micro-presencial/directorio-activo-ticketing-windows-office-365/rf-23d7139aa24543403b47,3 años,Soporte Técnico,Grupo Sermicro,,Empleado,,,02/08/2024,Técnico/a Micro,A determinar,Provincia Puesto,12,Bizkaia (Presencial),,Jornada completa,FP2/Grado Superior,,23d7139aa24543403b47,,"DIRECTORIO ACTIVO, TICKETING, WINDOWS, OFFICE 365, Soporte Técnico",Soporte Técnico,"DIRECTORIO ACTIVO, TICKETING, WINDOWS, OFFICE 365, Soporte Técnico"
Analista Programador,,,,,,,"['javascript', 'jQuery', 'HTML']",https://www.tecnoempleo.com/desarrollador-frontend-con-javascript-hibrido/javascript-jquery-html-css/rf-62f11545922f73d0ce4e,Más de 5 años,Analista ProgramadorDesarrollador Web,Grupo Sermicro,,Empleado,,,02/08/2024,Desarrollador/a Frontend con JavaScript,Indefinido,,77,Madrid (Híbrido),,Jornada completa,FP2/Grado Superior,30.000 € - 36.000 € Bruto/año,62f11545922f73d0ce4e,,"javascript, jQuery, HTML, CSS, Analista Programador, Desarrollador Web",Analista ProgramadorDesarrollador Web,"javascript, jQuery, HTML, CSS, Analista Programador, Desarrollador Web"
Técnico de Sistemas,,,,,Indonesio,,"['Vmware', 'Hyper V', 'Backup HPE']",https://www.tecnoempleo.com/tecnico-sistemas-hibrido/vmware-hyper-v-backup-hpe-veeam-hpe-san-sas-iscsi/rf-438c1ac9627263ce0447,Más de 5 años,Técnico de Sistemas,The Whiteam,,Empleado,,,02/08/2024,Técnico de Sistemas,Indefinido,Provincia Puesto,22,Valencia (Híbrido),,Jornada completa,Ingeniero Técnico,,438c1ac9627263ce0447,,"Vmware, Hyper V, Backup HPE, Veeam, HPE, SAN, SAS, ISCSI, Técnico de Sistemas",Técnico de Sistemas,"Vmware, Hyper V, Backup HPE, Veeam, HPE, SAN, SAS, ISCSI, Técnico de Sistemas"
Programador,,,,,,,"['java', 'J2EE', 'SQL Server']",https://www.tecnoempleo.com/analista-programador-en-java-remoto/java-j2ee-sql-server/rf-f27d1b35427c538d034e,3 años,Programador,Serem,,Empleado,,,02/08/2024,Analista Programador/a en Java,Indefinido,,36,100% En remoto,10,Jornada completa,Grado EEES (Bolonia),,f27d1b35427c538d034e,,"java, J2EE, SQL Server, Programador",Programador,"java, J2EE, SQL Server, Programador"
Jefe de Equipo,,"Beneficios Sociales, Plan de formación",,,Inglés,,"['Java', 'Microservicios', 'Oracle']",https://www.tecnoempleo.com/team-leader-java-remoto/java-microservicios-oracle-jenkins-git-sonarqube/rf-c6a61d76720b93ac2c4c,3-5 años,Jefe de Equipo,Second Window,,Empleado,,,02/08/2024,Team Leader Java,Indefinido,España,17,100% En remoto,,Jornada completa,FP1,36.000 € - 39.000 € Bruto/año,c6a61d76720b93ac2c4c,,"Java, Microservicios, Oracle, Jenkins, Git, SonarQube, Jefe de Equipo",Jefe de Equipo,"Java, Microservicios, Oracle, Jenkins, Git, SonarQube, Jefe de Equipo"
